ID,GSM3100217,GSM3100218,GSM3100219,GSM3100220,GSM3100221,GSM3100222,GSM3100223,GSM3100224,GSM3100225,GSM3100226,GSM3100227,GSM3100228,GSM3100229,GSM3100230
SLC7A1,-0.003232143,-0.06674718,-0.01032473,-0.05747432,-0.0204947,0.0376733,-0.09431702,0.0291376,0.05398298,-0.1095407,-0.1095628,-0.05199401,-0.06807948,-0.04884264
RAPGEF6,-0.03183002,-0.03099054,-0.01032549,0.07912094,-0.03176486,-0.02710199,-0.02693646,-0.04540834,-0.02934585,-0.03372779,0.01834642,-0.04249881,0.005592661,0.01008946
SLC3A2,0.006523504,-0.03234567,-0.01032585,0.03269384,-0.04779994,0.01961951,0.05302606,0.03057758,0.03351226,0.02986037,-0.02517632,0.02492052,-0.0492269,-0.01290752
WDR40A,-0.0444544,-0.1675819,-0.1032689,-0.2193774,-0.1172881,-0.2488373,-0.1592659,-0.1787752,-0.1852267,-0.1897495,-0.05712489,-0.19048,-0.1254158,-0.2169399
PLAA,-0.01526134,0.02827081,-0.01033938,-0.1279491,-0.09211096,-0.2369368,-0.1474803,-0.214377,-0.1257001,-0.1979874,0.009131772,-0.1084526,-0.03758243,-0.1122388
SCARB1,-0.04605476,-0.01174047,-0.0103425,-0.04945802,-0.01598278,0.02931744,-0.01592211,0.04222234,0.009738265,-0.02227876,-0.08428706,-0.0173349,-0.01601415,-0.00432436
DLEU2,-0.02567741,-0.0730085,-0.0103456,0.003760036,-0.01162422,-0.02000957,-0.1991151,-0.01079998,-0.1797725,-0.232905,-0.1336393,-0.06456624,0.04795409,0.0218179
DDX23,-0.05046314,-0.06212074,-0.1034726,0.001379564,-0.06165338,0.07606086,0.06146475,0.06197778,0.08296816,0.0330337,-0.05556869,-0.01151629,-0.148559,-0.1101448
NIPA1,0.02563779,-0.01924144,-0.01034838,0.03762331,-0.002314693,0.01522144,-0.01426263,-0.01815422,0.007057614,0.03427365,-0.002642068,0.02329819,0.009703526,-0.02343151
PAQR4,0.007326776,0.02252269,-0.001034905,-0.00044727,-0.04135764,0.06413599,0.07688743,0.00579449,0.02094412,0.05052816,0.03076462,-0.01506518,-0.06182343,-0.04094821
TTBK1,-0.02734083,-0.04046906,-0.1035152,-0.1031392,-0.06141215,-0.001788845,0.06442349,0.005924585,0.03555307,0.05176816,-0.04829605,-0.05840939,-0.1719925,-0.1017119
COPB1,-0.1490272,-0.1323414,-0.1035369,-0.08940815,-0.08336157,-0.08752033,-0.08514407,-0.05817029,-0.08764431,-0.1060606,-0.09002092,-0.06025893,-0.1192719,-0.1018957
SEMA5B,-0.1428216,-0.1222335,-0.1035572,-0.05530751,-0.1187471,-0.138442,-0.1169842,-0.049264,-0.127378,-0.113538,-0.1452181,-0.03911666,0.003404486,-0.07948316
EXOC3L,-0.007914039,0.000586478,-0.01036049,-0.000211149,0.0630714,0.02604139,0.05774052,0.01503434,0.06030406,-0.0442913,-0.03040574,0.04753345,0.04515187,0.06117176
ABCB9,-0.05152609,-0.06638033,-0.1036068,0.007116042,-0.07937218,0.06864673,0.08042857,0.02660682,0.05735689,0.0531542,-0.1266152,-0.01724416,-0.1269173,-0.11246
RAD9A,-0.07296191,-0.0377688,-0.1036103,0.002337855,-0.05167749,-0.02835535,0.01056397,0.009454416,0.007721252,-0.008367376,-0.1184114,-0.01085915,-0.05466265,-0.04518709
SUV39H2,-0.04849082,-0.01885841,-0.01036169,-0.0574156,-0.03647578,0.006293905,-0.0203362,0.01926844,0.0206183,-0.0270224,-0.1007058,0.008865957,-0.001050051,-0.03624398
